params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.5999999999999996,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.1}",2.6000000000000005,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.2}",1.88,100,-0.09348067828085542,-0.09233440170940169,-0.12432432432432435,-0.06451612903225809,0.009374611386969376
"{""discount_factor"": 0.3}",2.0700000000000003,100,-0.09236039265476953,-0.09102025856324138,-0.12368421052631581,-0.062068965517241406,0.010909155758355125
"{""discount_factor"": 0.4}",1.9100000000000001,100,-0.09097979174253298,-0.08937173263629573,-0.11914893617021272,-0.052173913043478286,0.012677578393798166
"{""discount_factor"": 0.5}",1.8599999999999994,100,-0.09240771282027176,-0.08883219954648525,-0.1310344827586207,-0.06764705882352942,0.013124944017277458
"{""discount_factor"": 0.6}",2.120000000000001,100,-0.08922883573465629,-0.08713406292749656,-0.13333333333333336,-0.056000000000000015,0.014200161461983617
"{""discount_factor"": 0.7}",1.8999999999999986,100,-0.09227130421205955,-0.08957322551662175,-0.13913043478260873,-0.050000000000000024,0.015711511267026385
"{""discount_factor"": 0.8}",1.9100000000000001,100,-0.08609770606475843,-0.08503332099222509,-0.128125,-0.050000000000000024,0.013444504450064948
"{""discount_factor"": 0.9}",2.0199999999999996,100,-0.09442936744333057,-0.08734963648380699,-0.16923076923076924,-0.05769230769230771,0.021740303696002033
