steps,time,reward,delta,converged
1,0.18000000000000682,-319.8662408978776,0.25759150652311225,False
2,0.25,-312.8738128406774,0.005663454405676616,False
3,0.25,-312.8129022718383,7.536681336017814e-06,False
4,0.2400000000000091,-312.81258896915904,7.444674656742478e-06,False
5,0.2400000000000091,-312.81239980342605,8.13327625681648e-06,False
6,0.2400000000000091,-312.8122920589251,7.79202234846288e-06,False
7,0.25,-312.8123870402391,8.066948446128208e-06,False
8,0.2400000000000091,-312.81240075343095,8.017874081778231e-06,False
9,0.2400000000000091,-312.81231771479287,7.656326342475595e-06,False
10,0.25,-312.81238675464255,8.066948446017186e-06,False
11,0.23999999999995225,-312.81240075343095,8.017874081778231e-06,False
12,0.2400000000000091,-312.81231771479287,7.656326342475595e-06,False
13,0.2400000000000091,-312.81238675464255,8.066948446017186e-06,True
