step,reward,mean,median,std,max,min
0,-0.09559999999999999,-0.09559999999999999,-0.09559999999999999,0.0,-0.09559999999999999,-0.09559999999999999
1,-0.10203619909502262,-0.0988180995475113,-0.0988180995475113,0.003218099547511316,-0.09559999999999999,-0.10203619909502262
2,-0.09751131221719457,-0.09838250377073905,-0.09751131221719457,0.0026988140284105026,-0.09559999999999999,-0.10203619909502262
3,-0.09697802197802197,-0.09803138332255978,-0.09724466709760826,0.0024150682345117774,-0.09559999999999999,-0.10203619909502262
4,-0.10167597765363127,-0.09876030218877409,-0.09751131221719457,0.0026060189016910095,-0.09559999999999999,-0.10203619909502262
5,-0.09835082458770614,-0.09869205592192942,-0.09793106840245036,0.002383848400101575,-0.09559999999999999,-0.10203619909502262
6,-0.09561752988047809,-0.0982528379160078,-0.09751131221719457,0.002455277765795935,-0.09559999999999999,-0.10203619909502262
7,-0.10436893203883495,-0.0990173496813612,-0.09793106840245036,0.00306042284159505,-0.09559999999999999,-0.10436893203883495
8,-0.0958955223880597,-0.09867047998210549,-0.09751131221719457,0.003047630083080952,-0.09559999999999999,-0.10436893203883495
9,-0.09832826747720363,-0.0986362587316153,-0.0979197898471991,0.0028930579076188595,-0.09559999999999999,-0.10436893203883495
10,-0.10216346153846154,-0.09895691353223768,-0.09832826747720363,0.0029388925820358707,-0.09559999999999999,-0.10436893203883495
11,-0.10278637770897832,-0.09927603554696607,-0.09833954603245489,0.00300625341654315,-0.09559999999999999,-0.10436893203883495
12,-0.09458128078817733,-0.09891490056552078,-0.09832826747720363,0.003147599785504363,-0.09458128078817733,-0.10436893203883495
13,-0.09639344262295081,-0.09873479642676579,-0.0979197898471991,0.003101838423432927,-0.09458128078817733,-0.10436893203883495
14,-0.10502793296089384,-0.09915433886237433,-0.09832826747720363,0.00338292725391507,-0.09458128078817733,-0.10502793296089384
15,-0.10120160213618157,-0.09928229281698728,-0.09833954603245489,0.0033127809650605753,-0.09458128078817733,-0.10502793296089384
16,-0.09371428571428568,-0.0989547629874166,-0.09832826747720363,0.0034706441022636938,-0.09371428571428568,-0.10502793296089384
17,-0.10227848101265823,-0.09913941398881891,-0.09833954603245489,0.00345771819338353,-0.09371428571428568,-0.10502793296089384
18,-0.09666666666666666,-0.09900926939291615,-0.09832826747720363,0.0034104895196221527,-0.09371428571428568,-0.10502793296089384
19,-0.10849056603773585,-0.09948333422515714,-0.09833954603245489,0.0039140616581073056,-0.09371428571428568,-0.10849056603773585
20,-0.10473684210526316,-0.09973350126706695,-0.09835082458770614,0.003980204970730803,-0.09371428571428568,-0.10849056603773585
21,-0.09711286089238845,-0.09961438125003612,-0.09833954603245489,0.003926820649172963,-0.09371428571428568,-0.10849056603773585
22,-0.09648562300319488,-0.09947834828278214,-0.09832826747720363,0.0038931476196674007,-0.09371428571428568,-0.10849056603773585
23,-0.09786407766990292,-0.0994110870072455,-0.09809617257355327,0.0038248042142001995,-0.09371428571428568,-0.10849056603773585
24,-0.0912,-0.0990826435269557,-0.09786407766990292,0.004078353228910219,-0.0912,-0.10849056603773585
25,-0.10461538461538461,-0.09929544126112605,-0.09809617257355327,0.0041382734958056765,-0.0912,-0.10849056603773585
26,-0.10282131661442005,-0.09942602923717397,-0.09832826747720363,0.004115145268841553,-0.0912,-0.10849056603773585
27,-0.10184804928131419,-0.09951252995303612,-0.09833954603245489,0.004065912436630174,-0.0912,-0.10849056603773585
28,-0.09782178217821784,-0.0994542283056286,-0.09832826747720363,0.0040070889125659506,-0.0912,-0.10849056603773585
29,-0.10652173913043478,-0.09968981199978881,-0.09833954603245489,0.004138964459834481,-0.0912,-0.10849056603773585
30,-0.09775967413441955,-0.0996275494880027,-0.09832826747720363,0.004085916255046811,-0.0912,-0.10849056603773585
31,-0.09537815126050421,-0.09949475579339336,-0.09809617257355327,0.004088968210878128,-0.0912,-0.10849056603773585
32,-0.10857142857142857,-0.09976980648363684,-0.09832826747720363,0.004316699765474295,-0.0912,-0.10857142857142857
33,-0.10375000000000002,-0.099886870998824,-0.09833954603245489,0.004305586649774876,-0.0912,-0.10857142857142857
34,-0.09780876494023905,-0.09982749654000729,-0.09832826747720363,0.00425773157553108,-0.0912,-0.10857142857142857
35,-0.1025936599423631,-0.09990433441229495,-0.09833954603245489,0.004222719140366058,-0.0912,-0.10857142857142857
36,-0.09817578772802653,-0.09985761693434175,-0.09832826747720363,0.004174685520057512,-0.0912,-0.10857142857142857
37,-0.10633802816901407,-0.1000281540720963,-0.09833954603245489,0.004247991937585318,-0.0912,-0.10857142857142857
38,-0.09798534798534797,-0.09997577442884634,-0.09832826747720363,0.004205590309862662,-0.0912,-0.10857142857142857
39,-0.1025352112676056,-0.10003976034981532,-0.09833954603245489,0.004171868745928874,-0.0912,-0.10857142857142857
40,-0.10271084337349395,-0.1001049087162465,-0.09835082458770614,0.004141227051438232,-0.0912,-0.10857142857142857
41,-0.09508928571428574,-0.09998548912096172,-0.09833954603245489,0.004162467593418592,-0.0912,-0.10857142857142857
42,-0.09352941176470587,-0.09983534778709531,-0.09832826747720363,0.004227290468579808,-0.0912,-0.10857142857142857
43,-0.09817578772802653,-0.09979763051302556,-0.09825202760261509,0.004186289547860474,-0.0912,-0.10857142857142857
44,-0.09616724738675957,-0.09971695533244188,-0.09817578772802653,0.004173960782662795,-0.0912,-0.10857142857142857
45,-0.10148514851485148,-0.09975539431466816,-0.09825202760261509,0.004136387384275033,-0.0912,-0.10857142857142857
46,-0.10206422018348624,-0.09980451826932386,-0.09832826747720363,0.004105687506901987,-0.0912,-0.10857142857142857
47,-0.10334572490706319,-0.0998782934076101,-0.09833954603245489,0.0040940566092439856,-0.0912,-0.10857142857142857
48,-0.10132743362831857,-0.09990786769782864,-0.09835082458770614,0.00405724226998714,-0.0912,-0.10857142857142857
49,-0.1024390243902439,-0.09995849083167695,-0.09977621336194385,0.004032066830172032,-0.0912,-0.10857142857142857
50,-0.11475409836065571,-0.10024860078322556,-0.10120160213618157,0.004488538334331396,-0.0912,-0.11475409836065571
51,-0.1038961038961039,-0.10031874507385784,-0.10126451788225008,0.00447330591646137,-0.0912,-0.11475409836065571
52,-0.10466321243523316,-0.10040071615614794,-0.10132743362831857,0.004470157860366018,-0.0912,-0.11475409836065571
53,-0.09792060491493383,-0.10035478817019952,-0.10126451788225008,0.0044411784054625685,-0.0912,-0.11475409836065571
54,-0.10322580645161288,-0.10040698850258886,-0.10132743362831857,0.0044173056819690115,-0.0912,-0.11475409836065571
55,-0.1042056074766355,-0.10047482098426827,-0.10140629107158503,0.004406497350089953,-0.0912,-0.11475409836065571
56,-0.10436893203883495,-0.10054313872206767,-0.10148514851485148,0.004397491953141652,-0.0912,-0.11475409836065571
57,-0.10266272189349111,-0.10057968325950602,-0.10158056308424138,0.004368139933728831,-0.0912,-0.11475409836065571
58,-0.10633802816901407,-0.10067728232576886,-0.10167597765363127,0.004394283696062552,-0.0912,-0.11475409836065571
59,-0.1016949152542373,-0.10069424287457666,-0.10168544645393429,0.0043594578027768924,-0.0912,-0.11475409836065571
60,-0.10347490347490347,-0.10073982747458202,-0.1016949152542373,0.00433797123036612,-0.0912,-0.11475409836065571
61,-0.09741176470588236,-0.1006861490428288,-0.10168544645393429,0.004323221272733088,-0.0912,-0.11475409836065571
62,-0.10128939828080227,-0.10069572442755854,-0.10167597765363127,0.004289435431135194,-0.0912,-0.11475409836065571
63,-0.10312499999999998,-0.10073368185837794,-0.10168544645393429,0.004266443042024458,-0.0912,-0.11475409836065571
64,-0.10261627906976743,-0.10076264489239932,-0.1016949152542373,0.004239833025208095,-0.0912,-0.11475409836065571
65,-0.09791666666666667,-0.10071952401019124,-0.10168544645393429,0.004221928390856707,-0.0912,-0.11475409836065571
66,-0.10294117647058823,-0.10075268300213747,-0.1016949152542373,0.00419895315343055,-0.0912,-0.11475409836065571
67,-0.10187110187110189,-0.10076913033844577,-0.10177148226777574,0.004170137841441597,-0.0912,-0.11475409836065571
68,-0.10267857142857142,-0.10079680339772294,-0.10184804928131419,0.004146093847261301,-0.0912,-0.11475409836065571
69,-0.09604316546762588,-0.10072889428443585,-0.10177148226777574,0.004154843571688865,-0.0912,-0.11475409836065571
70,-0.09845288326300984,-0.10069683779117633,-0.1016949152542373,0.004134189333484666,-0.0912,-0.11475409836065571
71,-0.09488372093023255,-0.10061610005699656,-0.10168544645393429,0.00416136498098397,-0.0912,-0.11475409836065571
72,-0.09575289575289575,-0.10054948081995407,-0.10167597765363127,0.004171244985957969,-0.0912,-0.11475409836065571
