step,reward,mean,median,std,max,min
0,-0.10358565737051793,-0.10358565737051793,-0.10358565737051793,0.0,-0.10358565737051793,-0.10358565737051793
1,-0.09172932330827066,-0.0976574903393943,-0.0976574903393943,0.0059281670311236365,-0.09172932330827066,-0.10358565737051793
2,-0.0825396825396825,-0.09261822107282369,-0.09172932330827066,0.008614943163747908,-0.0825396825396825,-0.10358565737051793
3,-0.09375,-0.09290116580461777,-0.09273966165413533,0.007476838064964707,-0.0825396825396825,-0.10358565737051793
4,-0.07924528301886789,-0.0901699892474678,-0.09172932330827066,0.008634800953413258,-0.07924528301886789,-0.10358565737051793
5,-0.10315789473684209,-0.09233464016236352,-0.09273966165413533,0.009249958063203119,-0.07924528301886789,-0.10358565737051793
6,-0.08552631578947366,-0.09136202239480783,-0.09172932330827066,0.008889011905077198,-0.07924528301886789,-0.10358565737051793
7,-0.10656934306569342,-0.09326293747866851,-0.09273966165413533,0.009717616125360817,-0.07924528301886789,-0.10656934306569342
8,-0.10967741935483868,-0.09508676879824297,-0.09375,0.010514299651225007,-0.07924528301886789,-0.10967741935483868
9,-0.10899999999999999,-0.09647809191841868,-0.09845394736842104,0.01081283809472769,-0.07924528301886789,-0.10967741935483868
10,-0.1108433734939759,-0.09778402660710571,-0.10315789473684209,0.01110600112899946,-0.07924528301886789,-0.1108433734939759
11,-0.10612244897959182,-0.09847889513814621,-0.10337177605368,0.01088006989946726,-0.07924528301886789,-0.1108433734939759
12,-0.08899999999999998,-0.09774974935828881,-0.10315789473684209,0.010754065452583337,-0.07924528301886789,-0.1108433734939759
13,-0.10882352941176468,-0.0985407336478228,-0.10337177605368,0.01074815076282065,-0.07924528301886789,-0.1108433734939759
14,-0.1111111111111111,-0.09937875881204203,-0.10358565737051793,0.010846807593069606,-0.07924528301886789,-0.1111111111111111
15,-0.12250000000000001,-0.10082383638628939,-0.10485405317505488,0.011900573335343787,-0.07924528301886789,-0.12250000000000001
16,-0.10502793296089384,-0.10107113618479553,-0.10502793296089384,0.011587551858202708,-0.07924528301886789,-0.12250000000000001
17,-0.09563492063492064,-0.1007691242098025,-0.10430679516570589,0.011329714433101044,-0.07924528301886789,-0.12250000000000001
18,-0.10592105263157893,-0.10104027833726441,-0.10502793296089384,0.011087378134969704,-0.07924528301886789,-0.12250000000000001
19,-0.09541666666666669,-0.10075909775373453,-0.10430679516570589,0.010875920379579098,-0.07924528301886789,-0.12250000000000001
20,-0.07884615384615382,-0.09971562423432594,-0.10358565737051793,0.011594383730836917,-0.07884615384615382,-0.12250000000000001
21,-0.08932038834951454,-0.09924311351228905,-0.10337177605368,0.011532904476762851,-0.07884615384615382,-0.12250000000000001
22,-0.09251700680272107,-0.09895067409013392,-0.10315789473684209,0.011362499375715297,-0.07884615384615382,-0.12250000000000001
23,-0.08791208791208789,-0.09849073299938199,-0.09939640768588137,0.011339863871344641,-0.07884615384615382,-0.12250000000000001
24,-0.11022727272727272,-0.09896019458849763,-0.10315789473684209,0.011346288931783894,-0.07884615384615382,-0.12250000000000001
25,-0.08135593220338981,-0.09828310757368579,-0.09939640768588137,0.011629616121955894,-0.07884615384615382,-0.12250000000000001
26,-0.0965625,-0.09821938136725299,-0.0965625,0.011416846052726389,-0.07884615384615382,-0.12250000000000001
27,-0.07499999999999997,-0.09739011774699395,-0.09609871031746031,0.012010683897501742,-0.07499999999999997,-0.12250000000000001
28,-0.09225352112676055,-0.0972129937256066,-0.09563492063492064,0.011838944479670922,-0.07499999999999997,-0.12250000000000001
29,-0.10999999999999999,-0.09763922726808638,-0.09609871031746031,0.011864112361611827,-0.07499999999999997,-0.12250000000000001
30,-0.09578544061302682,-0.09757942769856832,-0.09578544061302682,0.011675782122295876,-0.07499999999999997,-0.12250000000000001
