params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",25.739999999999952,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",32.25999999999999,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",11.360000000000014,100,-0.09551323802800585,-0.09339285714285714,-0.1230769230769231,-0.06764705882352942,0.01420664742197397
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",11.649999999999977,100,-0.09249708595194309,-0.0911610946172712,-0.12571428571428572,-0.05925925925925928,0.012704649179567047
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",12.090000000000032,100,-0.0934144146302435,-0.09179104477611938,-0.13333333333333336,-0.06451612903225809,0.012289224157919004
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",9.909999999999968,100,-0.09383452128965147,-0.089999173485412,-0.12903225806451615,-0.04210526315789475,0.015072364226491159
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",10.450000000000045,100,-0.09496933260194781,-0.09051724137931035,-0.128125,-0.050000000000000024,0.016554112631904372
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",9.039999999999964,100,-0.09064908185587862,-0.0886549707602339,-0.14500000000000002,-0.06451612903225809,0.01415058302655959
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.850000000000023,100,-0.0905778602118119,-0.08854166666666667,-0.1230769230769231,-0.06451612903225809,0.011495954423345726
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",5.149999999999977,100,-0.13117116000613413,-0.128125,-0.21250000000000002,-0.06857142857142857,0.030636022377861175
