episode,length,time,reward,delta
0,12.0,0.0,-2.2,-1.0
1,34.0,0.0,-4.400000000000002,-1.0
2,47.0,0.0,-5.699999999999999,-0.99
3,31.0,0.0,-4.100000000000001,-1.0
4,59.0,0.010000000000218279,-6.899999999999995,-1.0
5,49.0,0.0,-5.899999999999999,-1.0
6,16.0,0.0,-2.6000000000000005,-0.8992030009964461
7,55.0,0.0,-6.4999999999999964,-0.99
8,19.0,0.0,-2.9000000000000004,-1.0
9,6.0,0.0,-1.6,-0.9729
10,58.0,0.0,-6.799999999999995,-1.0
11,13.0,0.0,-2.3,-0.988027589
12,51.0,0.0,-6.099999999999998,-0.8176544308071213
13,4.0,0.0,-1.4,-0.8972268508071213
14,43.0,0.0,-5.300000000000001,-1.0
15,27.0,0.0,-3.700000000000001,-0.99
16,12.0,0.0,-2.2,-1.0
17,151.0,0.010000000000218279,-16.099999999999962,-0.99
18,4.0,0.0,-1.4,-0.7358889877264092
19,16.0,0.009999999999308784,-2.6000000000000005,-1.0
20,79.0,0.0,-8.899999999999988,-1.0
21,64.0,0.0,-7.399999999999993,-1.0
22,17.0,0.0,-2.7,-0.9315845931664679
23,35.0,0.0,-4.500000000000002,-1.0
24,35.0,0.0,-4.500000000000002,-1.0
25,49.0,0.0,-5.899999999999999,-0.99
26,23.0,0.0,-3.3000000000000007,-0.891
27,31.0,0.0,-4.100000000000001,-1.0
28,5.0,0.0,-1.5,-0.8384261338498211
29,35.0,0.0,-4.500000000000002,-1.0
30,28.0,0.0,-3.800000000000001,-0.99
31,35.0,0.0,-4.500000000000002,-0.9
32,108.0,0.0,-11.799999999999978,-0.9718227
33,20.0,0.0,-3.0000000000000004,-0.8842159148996807
34,36.0,0.0,-4.600000000000001,-1.0
35,137.0,0.009999999999308784,-14.699999999999967,-0.9
36,41.0,0.0,-5.100000000000001,-1.0
37,43.0,0.0,-5.300000000000001,-0.9787770988964013
38,162.0,0.010000000000218279,-17.19999999999996,-0.81
39,114.0,0.009999999999308784,-12.399999999999975,-0.8691640955332309
40,39.0,0.0,-4.900000000000002,-0.97896493123
41,38.0,0.0,-4.8000000000000025,-0.97948968
42,67.0,0.010000000000218279,-7.699999999999992,-0.99
43,76.0,0.0,-8.599999999999989,-1.0
44,217.0,0.009999999999308784,-22.70000000000004,-0.891
45,69.0,0.010000000000218279,-7.8999999999999915,-0.99
46,23.0,0.0,-3.3000000000000007,-0.9
47,63.0,0.010000000000218279,-7.299999999999994,-0.76308979207573
48,50.0,0.010000000000218279,-5.999999999999998,-0.881068438107
49,22.0,0.0,-3.2000000000000006,-0.9589524774670821
50,23.0,0.0,-3.3000000000000007,-0.99
51,44.0,0.0,-5.4,-0.9893
52,20.0,0.0,-3.0000000000000004,-0.9692417326214581
53,122.0,0.009999999999308784,-13.199999999999973,-0.8004230014874236
54,33.0,0.0,-4.300000000000002,-0.99
55,39.0,0.0,-4.900000000000002,-0.9546710304781452
56,81.0,0.010000000000218279,-9.099999999999987,-0.9722
57,28.0,0.0,-3.800000000000001,-0.8891199580763587
58,20.0,0.0,-3.0000000000000004,-0.7897559995435548
59,17.0,0.0,-2.7,-0.8592039274303307
60,86.0,0.009999999999308784,-9.599999999999985,-1.0
61,71.0,0.010000000000218279,-8.09999999999999,-1.0
62,19.0,0.0,-2.9000000000000004,-0.9428350180493014
63,29.0,0.010000000000218279,-3.9000000000000012,-0.9
64,21.0,0.0,-3.1000000000000005,-0.9482656246085968
65,38.0,0.0,-4.8000000000000025,-0.9893
66,52.0,0.0,-6.1999999999999975,-0.8067425098923746
67,89.0,0.009999999999308784,-9.899999999999984,-1.0
68,80.0,0.010000000000218279,-8.999999999999988,-0.9
69,47.0,0.0,-5.699999999999999,-0.9267020502297643
70,60.0,0.010000000000218279,-6.999999999999995,-0.98037
71,58.0,0.0,-6.799999999999995,-0.876868224861395
72,50.0,0.0,-5.999999999999998,-0.9727778719180383
73,39.0,0.009999999999308784,-4.900000000000002,-0.7732835346872976
74,62.0,0.0,-7.199999999999994,-0.796165470297313
75,74.0,0.010000000000218279,-8.39999999999999,-0.8874491555842884
76,106.0,0.010000000000218279,-11.599999999999978,-0.881233562083502
