params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",33.460000000000036,100,-0.10145488214684638,-0.10096776990894638,-0.11058823529411763,-0.10000000000000002,0.0019491987449332983
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",33.86999999999989,100,-0.1004159516444913,-0.10000000000000002,-0.11139240506329111,-0.10000000000000002,0.001284711400984827
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",30.090000000000146,100,-0.10122500646596531,-0.10104170155304093,-0.10671641791044774,-0.10000000000000002,0.0013643223983914826
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",27.929999999999836,100,-0.10162663553318389,-0.10152156515277103,-0.10671641791044774,-0.10000000000000002,0.0012195331338418127
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",25.9699999999998,100,-0.10133815973345216,-0.10127119658460677,-0.10494505494505492,-0.10000000000000002,0.0011686778692729875
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",23.90000000000009,100,-0.10348701029502662,-0.10291265186426476,-0.10957446808510635,-0.10000000000000002,0.0021395104281722098
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",22.170000000000528,100,-0.10408866798511694,-0.10306179125202498,-0.11636363636363632,-0.10000000000000002,0.0030046319866282923
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.3799999999992,100,-0.10435056215932116,-0.10348226313426134,-0.118,-0.1011264080100125,0.003149853290281546
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",15.350000000000364,100,-0.10431642044215668,-0.10392158724131384,-0.11499999999999998,-0.10097508125677142,0.0027137058648878864
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",11.13000000000011,100,-0.12898840225936378,-0.12142857142857141,-0.2285714285714286,-0.10394736842105265,0.02356282948749592
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",30.5,100,-0.10133432810167843,-0.10090863779248262,-0.11874999999999998,-0.10000000000000002,0.0026038905723354874
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",32.97999999999956,100,-0.1003347011264108,-0.10000000000000002,-0.10599999999999998,-0.10000000000000002,0.0008874513871799246
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",28.0,100,-0.10061545688623476,-0.10000000000000002,-0.10391304347826086,-0.10000000000000002,0.0009622074634825033
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",26.25,100,-0.10167057201011762,-0.10137104072398188,-0.10989010989010987,-0.10000000000000002,0.0017007664682267946
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",26.539999999999964,100,-0.10276121166357693,-0.10253903452227472,-0.10909090909090909,-0.10000000000000002,0.0016778481903853566
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",22.800000000000182,100,-0.1021714814701025,-0.10188887420718817,-0.10625,-0.10000000000000002,0.001461853201626632
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",21.170000000000073,100,-0.10443121118018864,-0.10415813060179258,-0.1134328358208955,-0.10000000000000002,0.0026437252452362757
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",17.860000000000582,100,-0.10609056021712472,-0.10462727993655828,-0.1230769230769231,-0.10126939351198869,0.00427713168065325
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",15.359999999999673,100,-0.10799772127766812,-0.1068718307396398,-0.13913043478260873,-0.10000000000000002,0.006481012052906748
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",11.0,100,-0.1270620629370448,-0.12222560975609756,-0.2,-0.10676691729323307,0.01876328858700591
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",29.279999999999745,100,-0.10052153655958071,-0.10000000000000002,-0.10592105263157893,-0.10000000000000002,0.0011916972415822679
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",29.170000000000073,100,-0.10070332315324461,-0.10000000000000002,-0.10775862068965517,-0.10000000000000002,0.001324064889943642
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",26.36999999999989,100,-0.10152552309684498,-0.10135135439798895,-0.11199999999999997,-0.10000000000000002,0.0016241810044228294
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",25.600000000000364,100,-0.10171795246335115,-0.10144115384615385,-0.10661764705882353,-0.10000000000000002,0.0013095389588952452
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",23.61999999999989,100,-0.10360659612070433,-0.10286203967724321,-0.10978260869565215,-0.10000000000000002,0.002195097221506166
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",22.0,100,-0.10322771126426111,-0.10272420046158917,-0.10989010989010987,-0.10000000000000002,0.0021470622190831487
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",19.68000000000029,100,-0.10458383196204554,-0.10386330140014738,-0.11499999999999998,-0.10000000000000002,0.003018059172284069
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",17.349999999999454,100,-0.10424644519412468,-0.1037441619097042,-0.11666666666666663,-0.1010688836104513,0.0027078769625921346
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",14.900000000000546,100,-0.1085548773161339,-0.10779352226720648,-0.1272727272727273,-0.10190274841437633,0.004940166052487589
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",11.089999999999236,100,-0.11847237471486607,-0.11551724137931033,-0.1642857142857143,-0.1030201342281879,0.011062781564397934
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",32.5600000000004,100,-0.10107752984117774,-0.10000000000000002,-0.1272727272727273,-0.10000000000000002,0.002947981431700025
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",34.89000000000033,100,-0.10178627099860128,-0.10109565657297795,-0.11249999999999999,-0.10000000000000002,0.002608427150175993
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",30.229999999999563,100,-0.10088423976306993,-0.10000000000000002,-0.10441176470588234,-0.10000000000000002,0.0011121288567868452
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",27.390000000000327,100,-0.10131447978593036,-0.10101583370595857,-0.10918367346938775,-0.10000000000000002,0.0017088502370987799
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",25.859999999999673,100,-0.1025634941016589,-0.10231798835867995,-0.10882352941176468,-0.10000000000000002,0.0017392952767748759
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",24.340000000000146,100,-0.10281427277613903,-0.10242272075127168,-0.10750000000000001,-0.10000000000000002,0.0015273034623314212
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",22.210000000000036,100,-0.10142290607382823,-0.1012044485157301,-0.10676691729323307,-0.10000000000000002,0.001526825398592482
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.649999999999636,100,-0.10498892163728991,-0.10415706605222735,-0.128125,-0.1011056511056511,0.0034974988574161202
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",15.75,100,-0.10823405350010376,-0.10705893208661418,-0.13000000000000003,-0.10121457489878542,0.005349342457160624
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",12.240000000000691,100,-0.128842884244216,-0.11500416782439565,-0.27999999999999997,-0.10319148936170211,0.03717839740056971
