steps,time,reward,delta,converged
1,0.0,-8.819933554206981,0.6133333333333333,False
2,0.0,-14.38757577116377,0.23055367257430265,False
3,0.0,-17.97043562306244,0.11361062277091905,False
4,0.0,-20.4033460451404,0.06912176113641216,False
5,0.0,-22.067372395013674,0.05017343930807294,False
6,0.010000000000047748,-23.2165612416747,0.03573521223780929,False
7,0.0,-24.02714944510459,0.028379797453212396,False
8,0.0,-24.605567728799485,0.021936135941573842,False
9,0.0,-25.022169216437348,0.016821357478270627,False
10,0.0,-25.3236819926855,0.0128490178890025,False
11,0.0,-25.542229298358745,0.009779164363014514,False
12,0.0,-25.700911028658133,0.007419068397912343,False
13,0.0,-25.816232375982636,0.00561473013355801,False
14,0.0,-25.899868434830974,0.004241456666152277,False
15,0.0,-25.960446055023596,0.0031993526471207345,False
16,0.0,-26.004256779348776,0.002409987648291756,False
17,0.0,-26.035896084731128,0.0018128999695981585,False
18,0.0,-26.058721772761494,0.0013618558510932188,False
19,0.009999999999990905,-26.075174407502455,0.0010213059817673065,False
20,0.0,-26.087002343195685,0.0007643932140776744,False
21,0.0,-26.095500788807307,0.0005709182649079048,False
22,0.0,-26.10158493489912,0.0004254862188613484,False
23,0.0,-26.105936278805736,0.0003162597821841917,False
24,0.0,-26.109045604331847,0.00023345483721493032,False
25,0.0,-26.111265562471733,0.00017132236271938384,False
26,0.0,-26.112845433707825,0.00012512827265115378,False
27,0.0,-26.113961952515083,9.034394819024127e-05,False
28,0.0,-26.114749587625067,6.371683945716189e-05,False
29,0.0,-26.115304509591592,4.454929925273854e-05,False
30,0.0,-26.115695118452354,3.103669510362561e-05,False
31,0.0,-26.115969885464033,2.1581485445232307e-05,False
32,0.009999999999990905,-26.116163073298836,1.4984725398958787e-05,False
33,0.0,-26.116298857822546,1.0389554080947327e-05,False
34,0.0,-26.11639427521745,7.19293159245904e-06,True
