steps,time,reward,delta,converged
1,0.0,-43.03995763079386,0.7153845289437586,False
2,0.0,-54.70052907794513,0.11760090777446529,False
3,0.0,-57.9787058445258,0.021187594030340928,False
4,0.0,-58.913707430837775,0.006451621399176932,False
5,0.0,-59.180279123360144,0.0025144233379058023,False
6,0.009999999999990905,-59.256625532158914,0.000937772447208246,False
7,0.009999999999990905,-59.27850540281006,0.00033984587548954726,False
8,0.009999999999990905,-59.28477412406541,0.00012075681936718485,False
9,0.009999999999990905,-59.28657101644013,4.2510636881487596e-05,False
10,0.010000000000047748,-59.28708741684588,1.4857424007391762e-05,False
11,0.009999999999990905,-59.2872362879201,5.152049442735951e-06,True
