steps,time,reward,delta,converged
1,0.050000000001091394,-3.37125748502994,100.62823466,False
2,0.010000000000218279,-0.9857142857142858,100.639764262,False
3,0.010000000000218279,-1.6178343949044587,100.639764262,False
4,0.010000000000218279,-0.9722222222222222,100.639764262,False
5,0.0,0.1348314606741573,100.639764262,False
6,0.00999999999839929,2.3666666666666667,100.639764262,False
7,0.0,0.23170731707317074,100.639764262,False
8,0.010000000000218279,1.02,100.639764262,False
9,0.0,1.5897435897435896,100.639764262,False
10,0.0,0.5538461538461539,100.639764262,False
11,0.010000000000218279,1.9705882352941178,100.639764262,False
12,0.0,3.590909090909091,100.639764262,False
13,0.0,1.7297297297297298,100.639764262,False
14,0.010000000000218279,1.2444444444444445,100.639764262,False
15,0.0,-0.9692307692307692,100.639764262,False
16,0.0,2.4827586206896552,100.639764262,False
17,0.010000000000218279,2.8846153846153846,100.639764262,False
18,0.0,3.391304347826087,100.639764262,False
19,0.0,1.7297297297297298,100.639764262,False
20,0.0,4.611111111111111,100.639764262,False
21,0.0,3.590909090909091,100.639764262,False
22,0.0,2.3666666666666667,100.639764262,False
23,0.0,5.3125,100.639764262,False
24,0.0,4.9411764705882355,100.639764262,False
25,0.0,-0.9545454545454546,100.639764262,False
26,0.010000000000218279,3.8095238095238093,100.639764262,False
27,0.0,3.04,100.639764262,False
28,0.0,3.391304347826087,100.639764262,False
29,0.0,-5.217391304347826,100.639764262,False
30,0.0,5.733333333333333,100.639764262,False
31,0.0,5.733333333333333,100.639764262,False
32,0.0,3.590909090909091,100.639764262,False
33,0.0,4.05,100.639764262,False
34,0.0,3.8095238095238093,100.639764262,False
35,0.0,4.9411764705882355,100.639764262,False
36,0.0,5.733333333333333,100.639764262,False
37,0.00999999999839929,4.611111111111111,100.639764262,False
38,0.0,5.733333333333333,100.639764262,False
39,0.0,4.9411764705882355,100.639764262,False
40,0.0,5.3125,100.639764262,False
41,0.0,4.611111111111111,100.639764262,False
42,0.0,5.3125,100.639764262,False
43,0.0,5.733333333333333,100.639764262,False
44,0.010000000000218279,-0.875,100.639764262,False
45,0.0,5.733333333333333,100.639764262,False
46,0.0,4.05,100.639764262,False
47,0.0,5.733333333333333,100.639764262,False
48,0.0,3.04,100.639764262,False
49,0.0,5.733333333333333,100.639764262,False
50,0.010000000000218279,5.733333333333333,100.639764262,False
51,0.0,5.733333333333333,100.639764262,False
52,0.0,5.733333333333333,100.639764262,False
53,0.0,5.733333333333333,100.639764262,False
54,0.0,4.9411764705882355,100.639764262,False
55,0.0,5.3125,100.639764262,False
56,0.0,4.9411764705882355,100.639764262,False
57,0.010000000000218279,5.733333333333333,100.639764262,False
58,0.0,4.315789473684211,100.639764262,False
59,0.0,5.733333333333333,100.639764262,False
60,0.0,5.733333333333333,100.639764262,False
61,0.0,5.3125,100.639764262,False
62,0.0,5.733333333333333,100.639764262,False
63,0.0,4.9411764705882355,100.639764262,False
64,0.010000000000218279,5.733333333333333,100.639764262,False
65,0.0,5.733333333333333,100.639764262,False
66,0.0,4.315789473684211,100.639764262,False
67,0.0,-0.875,100.639764262,False
68,0.0,5.733333333333333,100.639764262,False
69,0.0,4.315789473684211,100.639764262,False
70,0.0,5.733333333333333,100.639764262,False
71,0.010000000000218279,5.733333333333333,100.639764262,False
72,0.0,4.611111111111111,100.639764262,False
73,0.0,-0.9090909090909091,100.639764262,False
74,0.0,5.733333333333333,100.639764262,False
75,0.0,5.733333333333333,100.639764262,False
76,0.0,4.9411764705882355,100.639764262,False
77,0.010000000000218279,4.315789473684211,100.639764262,False
78,0.0,-0.9047619047619048,100.639764262,False
79,0.0,3.04,100.639764262,False
80,0.0,4.9411764705882355,100.639764262,False
81,0.0,4.9411764705882355,100.639764262,False
82,0.0,5.733333333333333,100.639764262,False
83,0.010000000000218279,4.9411764705882355,100.639764262,False
84,0.0,5.733333333333333,100.639764262,False
85,0.0,5.733333333333333,100.639764262,False
86,0.0,5.733333333333333,100.639764262,False
87,0.0,4.9411764705882355,100.639764262,False
88,0.0,5.733333333333333,100.639764262,False
89,0.0,5.733333333333333,100.639764262,False
90,0.00999999999839929,5.733333333333333,100.639764262,False
91,0.0,-0.9,100.639764262,False
92,0.0,5.733333333333333,100.639764262,False
93,0.0,-0.9130434782608695,100.639764262,False
94,0.0,-0.9,100.639764262,False
95,0.0,5.733333333333333,100.639764262,False
96,0.010000000000218279,4.9411764705882355,100.639764262,False
97,0.0,5.733333333333333,100.639764262,False
98,0.0,-7.758620689655173,100.639764262,False
99,0.0,4.9411764705882355,100.639764262,False
100,0.0,-0.8888888888888888,100.639764262,False
101,0.0,5.733333333333333,100.639764262,False
