episode,length,time,reward,delta
0,66.0,0.0,-7.5999999999999925,-1.0005348418098035
1,35.0,0.009999999999990905,-4.500000000000002,-1.0005073768146078
2,21.0,0.0,-3.1000000000000005,-1.000137061733115
3,32.0,0.0,-4.200000000000001,-0.9001233555598034
4,4.0,0.0,-1.4,-0.9792727726101464
5,11.0,0.0,-2.0999999999999996,-1.000444999156018
6,47.0,0.009999999999990905,-5.699999999999999,-0.9996283414787903
7,7.0,0.0,-1.7,-0.8101110200038231
8,43.0,0.0,-5.300000000000001,-1.0002526623805323
9,28.0,0.009999999999990905,-3.800000000000001,-1.0005851786340847
10,60.0,0.0,-6.999999999999995,-0.9904854206362901
11,24.0,0.0,-3.400000000000001,-1.0001908542879627
12,20.0,0.0,-3.0000000000000004,-1.0002421406198996
13,52.0,0.009999999999990905,-6.1999999999999975,-0.9902619048357668
14,28.0,0.0,-3.800000000000001,-0.9996976004763845
15,6.0,0.0,-1.6,-0.8813454953491319
16,39.0,0.009999999999990905,-4.900000000000002,-1.0002228136123368
17,20.0,0.0,-3.0000000000000004,-0.9901216452543086
18,32.0,0.0,-4.200000000000001,-0.7932109458142187
19,40.0,0.0,-5.000000000000002,-1.0002732613108543
20,47.0,0.010000000000104592,-5.699999999999999,-0.9996279393729517
21,21.0,0.0,-3.1000000000000005,-0.9882405313948298
22,4.0,0.0,-1.4,-0.743183991514004
23,82.0,0.009999999999990905,-9.199999999999987,-0.9899117049090994
24,63.0,0.0,-7.299999999999994,-0.9872033336282766
25,17.0,0.0,-2.7,-0.9996540891131341
26,32.0,0.009999999999990905,-4.200000000000001,-0.9999702652982521
27,20.0,0.0,-3.0000000000000004,-0.6688655923626037
28,19.0,0.0,-2.9000000000000004,-0.7419673377404168
29,51.0,0.0,-6.099999999999998,-0.9999293355995159
30,51.0,0.009999999999990905,-6.099999999999998,-0.8883441893744173
31,93.0,0.009999999999990905,-10.299999999999983,-0.9904969439209862
32,21.0,0.0,-3.1000000000000005,-0.9004004992404162
33,56.0,0.0,-6.599999999999996,-0.8883695914418199
34,26.0,0.0,-3.600000000000001,-0.900473101975353
35,19.0,0.0,-2.9000000000000004,-0.9999153909192201
36,6.0,0.0,-1.6,-0.8941646875752108
37,30.0,0.0,-4.000000000000002,-0.9002005322511031
38,22.0,0.0,-3.2000000000000006,-0.8947214123991014
39,94.0,0.009999999999990905,-10.399999999999983,-0.9994772372595514
40,16.0,0.0,-2.6000000000000005,-0.9788782977519533
