steps,time,reward,delta,converged
1,0.0,-8.49827289954763,0.5866666666666667,False
2,0.0,-12.953995830627335,0.19037128524462726,False
3,0.0,-15.341353877469636,0.07750979972565153,False
4,0.0,-16.698507763514357,0.04113277329675358,False
5,0.009999999999990905,-17.476087081242017,0.026509433766382207,False
6,0.0,-17.928428290957605,0.017576722772936038,False
7,0.0,-18.197156749603668,0.011937777572962438,False
8,0.0,-18.3588376293659,0.007864496636206308,False
9,0.0,-18.456987258912637,0.005140163737541392,False
10,0.0,-18.516796525588216,0.003340335031905506,False
11,0.0,-18.55335028682661,0.0021604651533229657,False
12,0.0,-18.57568342657718,0.0013920607332505996,False
13,0.0,-18.58929740571853,0.0008943140569633301,False
14,0.0,-18.597582473194475,0.0005731901035334053,False
15,0.0,-18.602615867382287,0.00036664476204617547,False
16,0.0,-18.605669266455596,0.00023411169214815342,False
17,0.0,-18.607519101790718,0.0001492100432499699,False
18,0.010000000000047748,-18.60863845935833,9.490678580736933e-05,False
19,0.0,-18.609313036287283,6.023833148588453e-05,False
20,0.0,-18.60971767040539,3.814628612525128e-05,False
21,0.0,-18.609960189853968,2.405195157173523e-05,False
22,0.0,-18.61010541932447,1.5060774387121167e-05,False
23,0.0,-18.610191952556505,9.373157770553586e-06,True
