Male,Age,Debt,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Income,Approved
1.0,30.83,0.0,1.25,1,1,1,0,0,1
0.0,58.67,4.46,3.04,1,1,6,0,560,1
0.0,24.5,0.5,1.5,1,0,0,0,824,1
1.0,27.83,1.54,3.75,1,1,5,1,3,1
1.0,20.17,5.625,1.71,1,0,0,0,0,1
1.0,32.08,4.0,2.5,1,0,0,1,0,1
1.0,33.17,1.04,6.5,1,0,0,1,31285,1
0.0,22.92,11.585,0.04,1,0,0,0,1349,1
1.0,54.42,0.5,3.96,1,0,0,0,314,1
1.0,42.5,4.915,3.165,1,0,0,1,1442,1
1.0,22.08,0.83,2.165,0,0,0,1,0,1
1.0,29.92,1.835,4.335,1,0,0,0,200,1
0.0,38.25,6.0,1.0,1,0,0,1,0,1
1.0,48.08,6.04,0.04,0,0,0,0,2690,1
0.0,45.83,10.5,5.0,1,1,7,1,0,1
1.0,36.67,4.415,0.25,1,1,10,1,0,1
1.0,28.25,0.875,0.96,1,1,3,1,0,1
0.0,23.25,5.875,3.17,1,1,10,0,245,1
1.0,21.83,0.25,0.665,1,0,0,1,0,1
0.0,19.17,8.585,0.75,1,1,7,0,0,1
1.0,25.0,11.25,2.5,1,1,17,0,1208,1
1.0,23.25,1.0,0.835,1,0,0,0,0,1
0.0,47.75,8.0,7.875,1,1,6,1,1260,1
0.0,27.42,14.5,3.085,1,1,1,0,11,1
0.0,41.17,6.5,0.5,1,1,3,1,0,1
0.0,15.83,0.585,1.5,1,1,2,0,0,1
0.0,47.0,13.0,5.165,1,1,9,1,0,1
1.0,56.58,18.5,15.0,1,1,17,1,0,1
1.0,57.42,8.5,7.0,1,1,3,0,0,1
1.0,42.08,1.04,5.0,1,1,6,1,10000,1
1.0,29.25,14.79,5.04,1,1,5,1,0,1
1.0,42.0,9.79,7.96,1,1,8,0,0,1
1.0,49.5,7.585,7.585,1,1,15,1,5000,1
0.0,36.75,5.125,5.0,1,0,0,1,4000,1
0.0,22.58,10.75,0.415,1,1,5,1,560,1
1.0,27.83,1.5,2.0,1,1,11,1,35,1
1.0,27.25,1.585,1.835,1,1,12,1,713,1
0.0,23.0,11.75,0.5,1,1,2,1,551,1
1.0,27.75,0.585,0.25,1,1,2,0,500,1
1.0,54.58,9.415,14.415,1,1,11,1,300,1
1.0,34.17,9.17,4.5,1,1,12,1,221,1
1.0,28.92,15.0,5.335,1,1,11,0,2283,1
1.0,29.67,1.415,0.75,1,1,1,0,100,1
1.0,39.58,13.915,8.625,1,1,6,1,0,1
1.0,56.42,28.0,28.5,1,1,40,0,15,1
1.0,54.33,6.75,2.625,1,1,11,1,284,1
0.0,41.0,2.04,0.125,1,1,23,1,1236,1
1.0,31.92,4.46,6.04,1,1,3,0,300,1
1.0,41.5,1.54,3.5,0,0,0,0,0,1
1.0,23.92,0.665,0.165,0,0,0,0,0,1
0.0,25.75,0.5,0.875,1,0,0,1,0,1
1.0,26.0,1.0,1.75,1,0,0,1,0,1
1.0,37.42,2.04,0.04,1,0,0,1,5800,1
1.0,34.92,2.5,0.0,1,0,0,1,200,1
1.0,34.25,3.0,7.415,1,0,0,1,0,1
1.0,23.33,11.625,0.835,1,0,0,1,300,1
1.0,23.17,0.0,0.085,1,0,0,0,0,1
1.0,44.33,0.5,5.0,1,0,0,1,0,1
1.0,35.17,4.5,5.75,0,0,0,1,0,1
1.0,43.25,3.0,6.0,1,1,11,0,0,1
1.0,56.75,12.25,1.25,1,1,4,1,0,1
1.0,31.67,16.165,3.0,1,1,9,0,730,1
0.0,23.42,0.79,1.5,1,1,2,1,400,1
0.0,20.42,0.835,1.585,1,1,1,0,0,1
1.0,26.67,4.25,4.29,1,1,1,1,0,1
1.0,34.17,1.54,1.54,1,1,1,1,50000,1
0.0,36.0,1.0,2.0,1,1,11,0,456,1
1.0,25.5,0.375,0.25,1,1,3,0,15108,1
1.0,19.42,6.5,1.46,1,1,7,0,2954,1
1.0,35.17,25.125,1.625,1,1,1,1,500,1
1.0,32.33,7.5,1.585,1,0,0,1,0,0
1.0,34.83,4.0,12.5,1,0,0,1,0,0
0.0,38.58,5.0,13.5,1,0,0,1,0,0
1.0,44.25,0.5,10.75,1,0,0,0,0,0
1.0,44.83,7.0,1.625,0,0,0,0,2,0
1.0,20.67,5.29,0.375,1,1,1,0,0,0
1.0,34.08,6.5,0.125,1,0,0,1,0,0
0.0,19.17,0.585,0.585,1,0,0,1,0,0
1.0,21.67,1.165,2.5,1,1,1,0,20,0
1.0,21.5,9.75,0.25,1,0,0,0,0,0
1.0,49.58,19.0,0.0,1,1,1,0,0,0
0.0,27.67,1.5,2.0,1,0,0,0,0,0
1.0,39.83,0.5,0.25,1,0,0,0,0,0
1.0,27.25,0.625,0.455,1,0,0,1,0,0
1.0,37.17,4.0,5.0,1,0,0,1,0,0
1.0,25.67,2.21,4.0,1,0,0,0,0,0
1.0,34.0,4.5,1.0,1,0,0,1,0,0
0.0,49.0,1.5,0.0,1,0,0,1,27,0
1.0,62.5,12.75,5.0,1,0,0,0,0,0
1.0,31.42,15.5,0.5,1,0,0,0,0,0
1.0,52.33,1.375,9.46,1,0,0,1,100,0
1.0,28.75,1.5,1.5,1,0,0,1,225,0
0.0,28.58,3.54,0.5,1,0,0,1,0,0
1.0,23.0,0.625,0.125,1,0,0,0,1,0
0.0,22.5,11.0,3.0,1,0,0,1,0,0
0.0,28.5,1.0,1.0,1,1,2,1,500,0
1.0,37.5,1.75,0.25,1,0,0,1,400,0
1.0,35.25,16.5,4.0,1,0,0,0,0,0
1.0,18.67,5.0,0.375,1,1,2,0,38,0
1.0,25.0,12.0,2.25,1,1,2,1,5,0
1.0,27.83,4.0,5.75,1,1,2,1,0,0
1.0,54.83,15.5,0.0,1,1,20,0,130,0
1.0,28.75,1.165,0.5,1,0,0,0,0,0
0.0,25.0,11.0,4.5,1,0,0,0,0,0
1.0,40.92,2.25,10.0,1,0,0,1,0,0
0.0,19.75,0.75,0.795,1,1,5,1,5,0
1.0,29.17,3.5,3.5,1,1,3,1,0,0
0.0,24.5,1.04,0.5,1,1,3,0,147,0
1.0,24.58,12.5,0.875,1,0,0,1,0,0
0.0,33.75,0.75,1.0,1,1,3,1,0,0
1.0,20.67,1.25,1.375,1,1,3,1,210,0
0.0,25.42,1.125,1.29,1,1,2,0,0,0
1.0,37.75,7.0,11.5,1,1,7,1,5,0
1.0,52.5,6.5,6.29,1,1,15,0,11202,1
1.0,57.83,7.04,14.0,1,1,6,1,1332,1
0.0,20.75,10.335,0.335,1,1,1,1,50,1
1.0,39.92,6.21,0.04,1,1,1,0,300,1
1.0,25.67,12.5,1.21,1,1,67,1,258,1
0.0,24.75,12.5,1.5,1,1,12,1,567,1
0.0,44.17,6.665,7.375,1,1,3,1,0,1
0.0,23.5,9.0,8.5,1,1,5,1,0,1
1.0,34.92,5.0,7.5,1,1,6,1,1000,1
1.0,47.67,2.5,2.5,1,1,12,1,2510,1
1.0,22.75,11.0,2.5,1,1,7,1,809,1
1.0,34.42,4.25,3.25,1,1,2,0,610,1
0.0,28.42,3.5,0.835,1,0,0,0,0,1
1.0,67.75,5.5,13.0,1,1,1,1,0,1
1.0,20.42,1.835,2.25,1,1,1,0,150,1
0.0,47.42,8.0,6.5,1,1,6,0,51100,1
1.0,36.25,5.0,2.5,1,1,6,0,367,1
1.0,32.67,5.5,5.5,1,1,12,1,1000,1
1.0,48.58,6.5,6.0,1,0,0,1,0,1
1.0,39.92,0.54,0.5,1,1,3,0,1000,1
1.0,33.58,2.75,4.25,1,1,6,0,0,1
0.0,18.83,9.5,1.625,1,1,6,1,600,1
0.0,26.92,13.5,5.0,1,1,2,0,5000,1
0.0,31.25,3.75,0.625,1,1,9,1,0,1
0.0,56.5,16.0,0.0,1,1,15,0,247,1
1.0,43.0,0.29,1.75,1,1,8,0,375,1
1.0,22.33,11.0,2.0,1,1,1,0,278,1
1.0,27.25,1.665,5.085,1,1,9,0,827,1
1.0,32.83,2.5,2.75,1,1,6,0,2072,1
1.0,23.25,1.5,2.375,1,1,3,1,582,1
0.0,40.33,7.54,8.0,1,1,14,0,2300,1
0.0,30.5,6.5,4.0,1,1,7,1,3065,1
0.0,52.83,15.0,5.5,1,1,14,0,2200,1
0.0,46.67,0.46,0.415,1,1,11,1,6,1
0.0,58.33,10.0,4.0,1,1,14,0,1602,1
1.0,37.33,6.5,4.25,1,1,12,1,0,1
1.0,23.08,2.5,1.085,1,1,11,1,2184,1
1.0,32.75,1.5,5.5,1,1,3,1,0,1
0.0,21.67,11.5,0.0,1,1,11,1,0,1
0.0,28.5,3.04,2.54,1,1,1,0,0,1
0.0,68.67,15.0,0.0,1,1,14,0,3376,1
1.0,28.0,2.0,4.165,1,1,2,1,0,1
1.0,34.08,0.08,0.04,1,1,1,1,2000,1
1.0,27.67,2.0,1.0,1,1,4,0,7544,1
1.0,44.0,2.0,1.75,1,1,2,1,15,1
1.0,25.08,1.71,1.665,1,1,1,1,20,1
1.0,32.0,1.75,0.04,1,0,0,1,0,1
0.0,60.58,16.5,11.0,1,0,0,1,10561,1
0.0,40.83,10.0,1.75,1,0,0,0,837,1
1.0,19.33,9.5,1.0,1,0,0,1,400,1
0.0,32.33,0.54,0.04,1,0,0,0,11177,1
1.0,36.67,3.25,9.0,1,0,0,1,639,1
1.0,37.5,1.125,1.5,0,0,0,1,0,1
